"SNUM","DOMSOI","ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Long","Lat","GroupCat","species","TEST_LOCALE"
5079,"Yk",174,190,143,50,5287,324,38,286,243,134,251,117,301,57,5,65,147,24,126,31,-102.456037,27.291615,"mapimienss","collis",NA
5079,"Yk",175,181,140,50,5081,311,34,277,230,126,238,109,325,63,6,67,164,27,138,33,-102.519774,27.291566,"mapimienss","collis",NA
5079,"Yk",176,181,140,50,5081,311,34,277,230,126,238,109,325,63,6,67,164,27,138,33,-102.519774,27.291566,"mapimienss","collis",NA
4760,"I",177,178,139,50,5017,308,33,275,226,124,235,107,330,64,5,70,170,27,143,34,-102.627636,27.291417,"mapimienss","collis",NA
4760,"I",178,178,139,50,5017,308,33,275,226,124,235,107,330,64,5,70,170,27,143,34,-102.627636,27.291417,"mapimienss","collis",NA
5051,"Xk",179,172,137,49,5005,305,30,275,218,153,228,100,417,92,6,84,243,25,205,41,-103.6568303,27.288335,"mapimienss","collis",NA
5079,"Yk",180,198,146,50,5477,334,42,292,253,140,261,122,283,53,5,62,128,23,111,30,-102.36849,27.28821,"mapimienss","collis",NA
4760,"I",181,175,140,50,4960,305,30,275,223,122,232,106,336,65,6,68,172,28,145,35,-102.4304568,27.1022418,"mapimienss","collis",NA
5054,"Xl",182,186,185,53,5687,349,4,345,241,156,253,108,348,81,3,99,231,13,202,21,-104.91635,27.08138,"mapimienss","collis",NA
5054,"Xl",183,181,179,53,5460,340,7,333,234,153,246,107,381,95,3,107,265,12,224,21,-105.134,27.078,"mapimienss","collis",NA
4760,"I",184,165,139,51,4721,292,24,268,210,113,218,99,369,72,7,70,190,31,159,37,-102.343148,27.0585874,"mapimienss","collis",NA
